"Save Tag", "Save Tag"
"Search News", "Search News"
"Search results for ", "Search results for "
"Searching box allows inputing data to search news.", "Searching box allows inputing data to search news."
"See More", "See More"
"Show Menu on Sidebar", "Show Menu on Sidebar"
"Show Root Category Top Menu", "Show Root Category Top Menu"
"Show image/summary in news detail", "Show image/summary in news detail"
"Sidebar Menu Style", "Sidebar Menu Style"
"Status", "Status"
"Store View", "Store View"
"Submit", "Submit"
"Summary", "Summary"
"Tag Name", "Tag Name"
"Tag", "Tag"
"Telephone", "Telephone"
"There are no %s available.", "There are no %s available."
"There are no tags available.", "There are no tags available."
"There is no news in this category", "There is no news in this category"
"This page no longer exists", "This page no longer exists"
"Title of Index page (browser tab)", "Title of Index page (browser tab)"
"Title", "Title"
"Top Menu", "Top Menu"
"Type", "Type"
"URL Key", "URL Key"
"Use default design", "Use default design"
"User Restriction", "User Restriction"
"View All Tags", "View All Tags"
"When viewing a specific news,this block will show news's related product.", "When viewing a specific news,this block will show news's related product."
"When viewing a specific product,this block will show product's related news.", "When viewing a specific product,this block will show product's related news."
"Will display on 1<sup>st</sup> page of CMS Pro", "Will display on 1<sup>st</sup> page of CMS Pro"
"Yes, Accordion", "Yes, Accordion"
"Yes, Drop down", "Yes, Drop down"
"Yes, show it on the left", "Yes, show it on the left"
"Yes, show it on the right", "Yes, show it on the right"
"You can not delete root category!", "You can not delete root category!"
"published at", "published at"
